Account,Assists,Deaths,Heals,Hours_Played,Kill_Death_Ratio,Kills,Kills_Per_Minute,Matches_Won,Resupplies,Revives,Score_Per_Min,Total_Damage_Done,Win_Ratio
SultanEren,2333,5219,36240,166,2.84,14805,1.49,351,5638,1987,611.09,1703770,0.64
thatstickperson,30890,45287,283692,1783,3.47,157144,1.47,4963,71404,21757,610.91,17703710,0.78
FCuttyflam87,8024,15486,5468,464,2.38,36837,1.32,862,28325,3540,610.73,4339979,0.57
aroe-3-,27499,72216,382641,1574,2.01,144972,1.53,3330,33283,26690,610.7,16483560,0.63
yungprittmeckic,16178,31300,24444,901,2.93,91675,1.69,3184,4950,5698,610.69,10394442,0.73
ParroxPAW,3070,6079,18076,206,3.58,21782,1.76,392,1809,1268,610.58,2459994,0.65
InfanterieTerror,12486,11424,129572,1091,7.77,88764,1.36,2141,12325,4982,610.44,9827031,0.67
RobertChill,1742,3559,19596,101,2.48,8844,1.45,232,1616,928,610.35,1024957,0.75
M1N1T1V,36337,57996,629281,2336,3.33,193026,1.38,5638,124225,38388,610.34,22528347,0.7
ClamSlam47,10165,20009,24538,568,3.33,66591,1.95,1762,3710,5407,610.22,7402617,0.72
Camouflqge,2055,2307,29148,94,5.22,12040,2.12,183,2504,659,610.04,1381209,0.72
Twosaucee,15895,22484,290187,875,3.84,86340,1.64,2242,22853,14462,609.99,9655013,0.74
fandzaz01,9028,20363,130006,611,2.49,50754,1.38,1313,9941,16169,609.99,5579168,0.63
drewij,24140,32848,171794,1282,4.35,142732,1.86,2300,29985,12302,609.91,16322111,0.68
iFlyHelis,1575,2347,20325,90,4.64,10897,2.01,296,1381,854,609.88,1212851,0.85
TunaSpartan95,6632,6646,99362,363,4.26,28296,1.3,729,11083,4798,609.85,3213223,0.68
DJPenguinn,9347,20976,131982,536,2.11,44321,1.38,1219,34475,6059,609.75,5413381,0.71
FKKani_04,29497,51077,326062,1695,3.4,173700,1.71,3514,55224,56406,609.65,19339827,0.62
helfire17,18616,39320,127741,1435,3.14,123428,1.43,2598,22667,15936,609.63,13724078,0.62
bioware67,59169,77020,471555,2696,3.65,281341,1.74,5353,43637,34395,609.62,32019212,0.63
SaltyKnees,8414,11643,148604,747,5.51,64144,1.43,1394,19184,7326,609.61,7175348,0.64
buqianbuqian,1721,4198,14979,135,3.95,16600,2.05,247,3475,807,609.52,1824047,0.6
DS12,24547,31116,47235,2200,5.91,184014,1.39,5796,22020,4141,609.41,20465571,0.86
GoldenSamurai13,6560,11392,139510,400,3.2,36454,1.52,676,16427,7338,609.37,4139811,0.6
The_BERG_366,20398,45202,43134,1328,3.61,163376,2.05,3505,6423,4838,609.34,18275676,0.7
flaaaidan,12036,19562,131513,719,3.24,63405,1.47,1506,24282,10367,609.32,7386308,0.72
xl PTSD lx,3176,5349,96167,199,3.1,16588,1.38,397,6805,3701,609.25,1796812,0.65
benparkker,25807,37338,81924,1403,3.97,148385,1.76,3510,22518,9527,609.23,16763912,0.71
KitoSushi,1811,3022,20286,96,3.55,10719,1.85,240,2463,1967,609.14,1178274,0.68
Don_C4RLIT0,41378,59359,476579,2148,2.83,168038,1.3,5184,49700,35512,609.14,19705575,0.77
ashitaka_16,22786,46691,62384,1138,2.21,103124,1.51,2208,12890,9624,609.06,12484811,0.6
AK-Gab12345,12260,19890,44554,654,3.29,65533,1.67,1559,14758,4069,608.99,7887148,0.64
aa_nasaniel17_aa,16344,37419,65622,1066,2.32,86677,1.35,2846,8318,8676,608.4,9545445,0.78
IlSnow-BlackIl,9054,14315,71459,647,5.08,72785,1.87,1791,31987,5651,608.26,8173155,0.64
lnasmzc,968,2225,5097,70,3.59,7991,1.88,132,837,274,608.1,915335,0.56
H3RT7,27321,46915,291717,1367,4.01,188294,2.3,3193,39854,14947,608.05,20862619,0.73
StephLayhee,3505,6949,47343,184,3.05,21216,1.91,328,4475,2938,607.97,2375227,0.58
DenDixxi_yt,7301,13311,76975,439,3.78,50256,1.9,1181,4934,5004,607.95,5647055,0.65
Fezoia,13192,11206,76232,426,4.38,49114,1.92,861,16869,3924,607.86,6015193,0.72
naalby,20773,27098,191778,1535,4.59,124398,1.35,3171,46801,14979,607.83,14012471,0.73
Kissmebeautiful,20478,38073,59945,996,3.08,117340,1.96,1747,14068,4189,607.73,13338491,0.58
KAAOOKS,7404,14918,54999,460,3.52,52576,1.9,1265,6211,5899,607.69,5763498,0.69
kdems57,10648,22903,76820,670,2.56,58521,1.45,1393,9288,8704,607.58,6608171,0.71
ATENA_AEGIS,41889,61536,528905,1906,2.93,180426,1.58,5171,80902,28838,607.56,21720539,0.68
Sputnik-bfV,17471,33387,64967,994,3.08,102739,1.72,2886,36994,9429,607.54,11905035,0.7
emotako-1107,58926,116867,363540,3938,3.1,362516,1.53,7387,94352,35244,607.52,41278425,0.65
Mikan_515,24400,40597,121482,1814,3.59,145784,1.34,4437,25165,12133,607.45,16713911,0.73
chibi-moruru,24092,55548,441161,1401,2.03,112529,1.34,2526,36077,22531,607.3,13469486,0.58
VII-vivid,22404,24499,148194,928,4.73,115781,2.08,2353,17599,10290,607.29,13140994,0.7
MARxX720,4473,9059,53222,304,3.21,29058,1.59,590,13638,3121,607.2,3245580,0.59
GR8 Hir0shi,26706,60800,242551,1786,2.61,158465,1.48,3290,20796,48684,606.91,17562116,0.57
lll-JAG-lll,26118,39504,55103,1744,3.99,157787,1.51,3798,9255,13760,606.84,17457079,0.76
teleX5,23768,19295,97430,1001,6.85,132173,2.2,2108,9540,7140,606.77,15382646,0.67
bigryank123,26453,51119,113471,1401,3.53,180418,2.15,3905,11829,9009,606.74,19940460,0.7
Valentine_AU,22560,19129,133809,1079,7.14,136638,2.11,2745,16947,3865,606.73,15411546,0.69
Snowwy_birD,18495,35893,261170,1165,3.5,125521,1.8,2126,34138,10189,606.65,14467895,0.62
ACE_LBJ,24739,25948,114592,1390,4.91,127513,1.53,3839,22069,4685,606.51,14548421,0.86
SimoMiry,4944,10528,132729,298,2.26,23755,1.33,882,9953,5509,606.5,2638731,0.75
AppleID_KiMi,2367,3615,22492,128,2.61,9450,1.23,340,9993,1742,606.35,1048373,0.71
MyeongVi,26443,38293,367184,1163,3.85,147479,2.11,2150,46899,19758,606.3,16705228,0.66
ProGodLegend331,35505,46212,704556,2166,3.72,172129,1.32,5472,103183,42992,606.28,18928457,0.8
Leopard_A60,3900,4319,17961,314,7.32,31616,1.68,611,5766,1312,606.26,3637673,0.56
samurai_goIdfish,7248,10528,34845,602,5.53,58247,1.61,2283,3548,3669,605.96,6598753,0.77
xDecontaminated,11567,11038,42317,845,8.25,91047,1.79,1681,15278,3275,605.92,10162848,0.67
WaRr_Dz,10171,12912,198111,697,4.52,58307,1.39,1521,20071,9811,605.89,6701263,0.73
kolakent,32042,50361,272628,1609,2.85,143414,1.49,3672,30938,20007,605.8,16677145,0.68
IfLetUStartOver,7678,9898,36311,316,4.59,45458,2.4,487,5014,1231,605.79,5200382,0.59
Oneshoot-Oneyyc,10288,15553,36585,511,3.21,49956,1.63,874,7659,5166,605.78,5859154,0.62
newdawn02,18525,41993,116112,1239,2.63,110307,1.48,2695,15277,21266,605.78,12257311,0.7
targetrein2,13754,20090,106794,993,3.74,75227,1.26,2450,34484,12186,605.65,8354825,0.8
ZombieSpider999,3183,7198,67497,168,2.45,17642,1.75,331,7032,4848,605.3,1990368,0.59
Spyre382,4564,10062,24386,208,1.99,20020,1.6,491,6263,1956,605.14,2352872,0.66
ky19955,13181,25085,248484,715,2.58,64642,1.51,1607,15930,12813,605.02,7545513,0.68
ToT---OwO---XoX,2186,6459,28610,151,2.24,14489,1.6,323,9748,2546,604.96,1625257,0.63
X_PRO_SKILL4ER_X,26411,51219,61099,1064,4.1,209791,3.28,3804,25639,8622,604.88,22580790,0.69
Chronophag,46138,85498,46820,2134,3.68,314945,2.46,6403,14780,14671,604.66,35890438,0.67
fire-sign1031,3762,8409,56486,207,2.25,18939,1.52,348,4558,3921,604.49,2183028,0.57
iqbalmaulana26,12880,21116,167389,813,3.5,73886,1.51,1706,14838,13070,604.46,8251938,0.67
wwwYota,1664,3408,20280,118,2.93,9977,1.4,212,4405,1405,604.45,1102499,0.61
ActedDrake15,6194,11716,33570,300,2.69,31491,1.75,604,6259,2346,604.38,3587616,0.68
I_GoddessOfWar_l,9423,8992,118064,504,5.03,45229,1.49,1073,15739,7009,604.36,5199812,0.68
ALPHA______Evo,19846,41091,158315,1106,2.99,122862,1.85,3755,22072,17995,604.26,13868122,0.69
TrippyB555,30037,48431,255888,1725,3.39,164061,1.58,4156,49895,27576,604.19,18284860,0.72
JX2U,12311,28841,177108,887,2.58,74286,1.4,1766,16573,12850,604.02,8504122,0.65
ag3go,16945,28680,165759,775,2.44,70089,1.51,1518,42325,9461,604,8566459,0.58
Vanha_Paskiaine,36143,42556,152579,1831,4.49,190947,1.74,4057,53071,12794,603.99,23076020,0.65
inStagRammeR_x,9140,25891,11320,429,2.42,62653,2.43,1220,1008,627,603.84,7180675,0.62
DragonLord-_X_,11702,20122,101816,609,2.43,48997,1.34,1517,18628,11002,603.65,5777513,0.67
kazukari,2291,4847,16738,132,2.65,12863,1.62,289,2260,1059,603.37,1520469,0.66
GeS_Onyres,16332,25204,203969,912,3.74,94297,1.72,2650,24285,9193,603.19,10692966,0.74
bob-rambo,20267,19660,313472,1706,7.75,152455,1.49,4386,28544,14562,603.03,16677335,0.74
Krolef__,13645,21161,205807,900,4.11,86985,1.61,2391,17912,9279,602.97,9713479,0.69
twenty8car,30261,63842,224914,1676,3,191435,1.9,4950,35924,28207,602.94,21057095,0.73
ThelilHoser,22890,24018,198924,908,3.73,89649,1.64,2195,25341,10828,602.92,10741112,0.72
Donpopi_11,18760,40999,171211,1225,2.96,121276,1.65,2221,18913,16520,602.91,14034849,0.63
izThaT--Darko,18838,29929,120681,1063,3.83,114593,1.8,2562,15425,8337,602.78,12725251,0.75
TheGmoneyd,42931,51520,252467,2108,4.36,224464,1.77,4947,27540,27083,602.6,25129819,0.73
NeonAerow,24112,38575,222326,1431,3.69,142193,1.66,3498,46498,13039,602.55,16050282,0.71
Govnoreka,11180,15554,191964,543,2.99,46547,1.43,964,30825,11435,602.5,5758336,0.59
Mark_McLeod,7508,15657,84005,382,2.75,43112,1.88,949,7106,4913,602.48,4808107,0.67
GG Dummies,15161,17303,172145,755,3.88,67196,1.48,2061,23423,6041,602.46,7834868,0.79
babik9,4013,9227,18477,261,2.76,25445,1.62,582,2620,1429,602.45,2871649,0.68
Thorilax0,1495,3198,10015,94,3.14,10045,1.78,251,1431,973,602.32,1131243,0.69
XaiimSx-,24346,34821,47962,1115,4.28,148954,2.23,3272,7427,11200,602.24,16120329,0.74
Pluton_JP,30236,91485,751597,1967,1.77,161969,1.37,3783,133717,32981,602.22,18478762,0.61
DeMoNiO974,23338,47342,65266,1043,2.43,115239,1.84,2473,12739,7527,601.99,13389483,0.67
Kyo_Kuro-C_B-,18584,34476,101523,1053,2.56,88221,1.4,2231,15255,11694,601.86,10063635,0.7
NovaVictorious,26367,47292,687290,1694,3.43,162362,1.6,3919,66370,38217,601.62,17610523,0.67
km1k1,4412,10002,3210,276,2.86,28557,1.72,588,1800,1502,601.6,3166750,0.56
Take Yo Snacks,4659,8445,32206,335,3.4,28671,1.43,759,4567,2007,601.58,3187281,0.76
Fabian1125at,17967,26227,321638,1069,4.39,115176,1.79,2326,29010,24279,601.39,12753220,0.67
B-Eitros,16358,29462,265408,987,3,88362,1.49,2583,30260,26341,601.34,9896932,0.76
Sazaedegozaima-s,20331,46292,382880,1118,2.46,113760,1.7,2221,45444,12595,601.31,13611449,0.6
xXRUSSIAN-_-DOGx,10705,10628,85827,867,7.82,83085,1.6,1690,10092,3836,601.17,9149944,0.66
JewLover1941,1854,3808,11290,98,2.94,11204,1.89,215,1440,410,601.13,1242911,0.64
Fariko BlaZor,3169,5382,25856,155,3.09,16614,1.78,341,2569,2292,600.97,1981697,0.72
ReaperZ_Nabal,25510,38387,176181,1134,3.42,131417,1.93,2531,18945,16889,600.87,15100806,0.64
fa1rgotron,72003,83262,284444,2704,5.71,475565,2.93,10322,35968,28219,600.8,50689874,0.93
AKA Tanman,34665,75666,343453,2062,2.38,180413,1.46,4078,43819,43142,600.75,20247477,0.63
ozoevil,32305,45312,276143,2221,4.52,204674,1.54,5338,39184,16069,600.68,23850599,0.76
mobiusgear,32744,59488,137344,2194,3.5,208360,1.58,4806,18622,11288,600.68,23431329,0.75
PoPeCoRnHoLiO,16597,23713,110725,822,3.68,87186,1.77,2601,16776,10390,600.6,9948379,0.72
TheAverageMedic,33024,61481,962752,1994,3.01,185319,1.55,4815,83960,59811,600.56,20225388,0.72
JediLegend75,5314,20413,223988,595,1.42,29007,0.81,839,4927,17863,600.44,3356911,0.5
Pinent,20099,21748,105881,1130,5.17,112492,1.66,3447,39921,7411,600.15,12376959,0.87
sidedishT_T,56493,32303,106315,2629,9.08,293441,1.86,5864,55516,10061,600.13,35923669,0.67
thebennypenny,29951,52076,76093,1684,3.28,171043,1.69,2485,22713,10145,600.11,20143228,0.52
Neptunnne--,1522,4128,7102,86,2.99,12354,2.38,161,625,450,600.06,1349710,0.53
cechacek111,28742,59161,122715,1762,3.47,205380,1.94,4362,13497,16705,600.03,22691919,0.68
Xv---Id---vX,2974,3544,10719,158,4.08,14461,1.52,312,2717,1532,599.94,1674808,0.62
Sort_of_Irish,19290,31309,104349,1194,3.16,98803,1.38,2471,10288,15640,599.91,11824185,0.75
HawkIy,5710,10352,29030,311,2.99,30974,1.66,870,5393,2279,599.91,3527031,0.82
Oxy_Slayer_666,17877,32973,90652,1009,3.31,109102,1.8,2217,9574,8865,599.9,12166920,0.65
NMKwong,13932,53990,348804,1863,1.06,57211,0.51,3215,48742,9146,599.84,7403201,0.54
sidesreversedis,5909,24532,167755,954,0.81,19878,0.35,2396,53867,14137,599.84,2541540,0.74
l L0B0 l,49401,66803,248815,3046,3.99,266613,1.46,7810,53545,34712,599.79,29716892,0.79
RedBloodOnMe,27341,31717,21740,1160,4.04,128141,1.84,3177,6004,11047,599.77,14925311,0.73
xValhollx,2718,2814,15345,125,4.46,12562,1.67,266,2525,1650,599.76,1433063,0.67
Eduardodg97,24825,62710,177202,1690,2.98,186618,1.84,4043,23566,21190,599.65,20717669,0.66
SUSHI--ZANMAI--,25673,49165,119169,1363,2.19,107815,1.32,3458,54733,7806,599.61,13391050,0.75
Armytrix_EU,3753,6607,30066,232,3.86,25497,1.83,467,5056,2028,599.51,2872897,0.75
TheWarGirL__,1379,2184,52283,92,2.6,5687,1.02,206,3644,4009,599.44,641561,0.7
Boiled_Gatorade,4198,5543,16959,293,3.9,21632,1.23,499,5673,2611,599.33,2430102,0.68
snoopdoggy51,16817,25233,186410,977,3.13,78867,1.35,2049,15121,15254,599.33,9077693,0.67
frostHereAndNow,8857,10323,136005,403,5.32,54969,2.27,1006,10834,4611,599.31,6127916,0.67
jesuino,48977,99984,141885,3273,3.07,306522,1.56,7899,107900,23334,599.26,34764259,0.72
Sir_AlphaS,2993,6687,15336,196,2.89,19316,1.64,332,871,2250,599.12,2200537,0.59
l R Winning,9036,14602,178412,581,3.5,51128,1.46,1116,12329,9901,599.11,5722515,0.64
Er4liz3R_,13375,19099,126080,760,3.77,72069,1.58,1916,10861,12366,599.08,7981456,0.77
ItsTorNTheChamp,4075,6055,15728,205,3.96,23957,1.94,487,2595,1726,598.98,2686091,0.69
Mistralz,9128,15187,15107,484,3.72,56538,1.95,990,3002,2327,598.96,6480426,0.7
AqcR,1924,4587,8842,106,2.78,12769,1.99,237,1483,1112,598.71,1427511,0.68
lcedBlackTeaqwq,5933,8401,53271,251,3.46,29089,1.93,376,17730,1904,598.64,3548524,0.68
Kotholan,32308,40824,133867,1729,3.55,144783,1.4,3265,37756,13166,598.61,17186503,0.62
ILoveEnemy,1617,2320,11389,93,3.12,7230,1.29,293,1204,927,598.56,830096,0.71
Trojanman654,22965,36437,262061,1574,3.55,129357,1.37,3951,24123,30806,598.48,14178619,0.78
MattyLite32,40909,40164,165918,2280,5.24,210549,1.54,4973,47608,20989,598.33,24665911,0.72
Alex the wise45,9195,16928,768355,618,2.69,45523,1.23,1459,45667,29436,598.31,5000048,0.69
thozomas,54920,44658,224593,2433,5.78,257928,1.77,9185,59022,18791,598.3,29946007,0.83
Amidanata,3798,7884,36210,218,2.62,20668,1.58,367,6964,1464,598.25,2467828,0.54
Nir_07,11784,13734,66252,848,4.97,68315,1.34,2343,23015,7563,598.24,7196073,0.85
Wormantor,23025,30706,138641,1200,3.95,121373,1.68,2069,27929,5555,598.17,14091822,0.58
IIR-I-IIP,9440,13138,19468,485,4.46,58648,2.01,1335,2655,3264,598.16,6570463,0.73
LikeChocolate_TW,34477,43535,146812,2035,4.62,201214,1.65,4986,47387,11947,598.08,23757731,0.78
Dreamvile007,29501,37446,770336,1699,4.73,177099,1.74,6436,51253,60835,598.06,18188366,0.9
NarillioTheRat,15276,28678,82329,701,3.23,92702,2.2,1425,14355,8785,598.04,10510708,0.59
WhiteBaller45,7811,14053,32666,404,3.45,48469,2,919,4331,2548,598.02,5447817,0.7
Sabre6ix,5973,5054,55727,326,6.45,32593,1.67,731,10869,4177,598,3635456,0.76
AugmentedCupcake,21705,54939,137732,1907,2.82,155126,1.36,5562,38024,16536,597.97,17332903,0.86
Emiagist,17902,20928,29519,878,5.1,106781,2.03,3266,5564,3465,597.93,12924473,0.73
xx jAke15 xx,10235,36398,129038,618,1.74,63446,1.71,1601,8276,3119,597.79,6890039,0.77
JundaBF,8171,7312,83235,364,4.85,35480,1.62,905,12304,3911,597.75,3973594,0.8
DRAMAT1CZ,3354,7435,2595,240,3.39,25232,1.75,468,632,1017,597.68,2730695,0.7
stratocoaster50,9993,20606,375282,764,2,41220,0.9,1505,29251,26834,597.65,4697900,0.65
g38french,10503,19849,237778,700,3.25,64504,1.53,1635,17501,21203,597.62,6935493,0.71
II RaVstor II,9997,17141,162267,575,2.94,50477,1.46,1386,22628,11083,597.61,5664780,0.66
#NAME?,29159,53543,211567,1346,3.01,160951,1.99,3107,47425,9345,597.56,18819315,0.62
Jac0biWanKen0bi,13451,20365,15110,722,3.43,69911,1.61,1811,6259,5852,597.43,7913419,0.71
X LePanda X,28084,49732,222678,1493,2.77,137693,1.54,4663,32256,26340,597.24,16238893,0.63
IIDRLII,11746,18588,138812,653,3.65,67892,1.73,1608,13976,6961,597.22,7781994,0.68
iCeMaN_twiitch,32934,60325,20052,1531,2.22,134004,1.46,3504,8138,10439,597.18,16722178,0.66
BayFoster151,2287,5875,12191,131,2.24,13169,1.67,260,1366,1084,597.12,1496412,0.61
Jenny_Botsy,9113,16489,186854,478,3.13,51669,1.8,1150,16241,8801,597.07,5918472,0.69
TheBoxInTheBird,19224,21958,137732,1133,5.29,116162,1.71,2848,21243,6855,597.02,13253507,0.68
pXs-Walton,26331,37742,396229,1142,3.22,121640,1.77,2459,75259,23177,597.02,14075307,0.63
Toby_Fury,10141,21854,98154,658,2.27,49592,1.25,1357,6782,6557,596.95,5665712,0.69
Silent Peete,14844,28295,128265,1434,3.13,88617,1.03,3355,41205,12822,596.81,9572326,0.72
DougieeMcBuckets,12635,15198,127414,881,4.35,66152,1.25,1696,21834,11041,596.8,7469182,0.71
avava0112,3633,7381,34853,268,3.91,28879,1.79,544,9196,2436,596.68,3339334,0.56
U_r_ANGEL_XD,27258,31260,139847,1224,3.66,114346,1.56,2445,45843,8802,596.63,14343508,0.61
Pristinelist,14393,16907,180687,928,5,84538,1.52,2290,29119,13867,596.6,9379291,0.79
Juxin U,2632,5204,18412,120,2.88,14993,2.07,219,1387,1119,596.54,1668914,0.6
biutiful5972,9250,12672,62871,510,3.63,45980,1.5,1096,30418,5238,596.15,5423958,0.72
Rocket327,15521,26082,406419,1066,3.93,102458,1.6,3632,29354,40124,596.13,10749476,0.91
Jaimzii,49424,77715,175865,2577,3.87,301106,1.95,5396,22447,27948,595.96,34028588,0.69
vCarneey,11639,17051,100466,547,4.13,70504,2.14,1865,7331,7842,595.95,7922969,0.71
ToxicSnpz,3731,7016,11541,216,3.77,26447,2.03,454,2473,1064,595.87,2900103,0.55
FazeHixty,4229,10447,33274,245,2.5,26080,1.77,576,4661,2422,595.72,2967089,0.69
Nutz On Bacon,29960,40246,118569,1787,5.06,203686,1.9,4776,30118,12874,595.71,22486583,0.69
T_Taromaiti_T,25840,51125,68403,1631,2.55,130523,1.33,4328,26983,10127,595.62,14586495,0.8
Mac Flanks,11399,21304,7167,642,3.39,72169,1.87,1855,2951,4645,595.57,8231293,0.7
Serg3nt,13054,19024,42258,612,4.02,76520,2.08,1729,5565,6063,595.26,8846976,0.64
Indahass,14966,20671,160111,707,3.85,79679,1.88,1479,26164,8311,595.21,9452315,0.67
Ballliista-_-,35115,85071,214996,1915,3.12,265461,2.31,4050,20731,16296,595.08,29467998,0.61
Confit_de_porc,27825,91104,788503,2217,2.09,190009,1.43,5149,62061,42816,595.02,20186176,0.69
QliMaXMiTo,19027,43628,116934,1651,2.62,114108,1.15,2983,70563,10572,594.87,13782020,0.59
Mike_SYEG,13652,36795,86357,870,1.87,68884,1.32,1876,10898,6470,594.84,8143653,0.67
BiliBili-PropYi,41810,52221,174728,1883,3.77,196761,1.74,4533,33151,10916,594.81,24428399,0.71
surperman345,1443,2933,10190,130,5.52,16185,2.07,269,1773,625,594.73,1723510,0.58
KlumpenX,19063,32340,326410,1204,2.78,90014,1.25,2392,29959,22277,594.73,10279875,0.66
TooMuchCyanide,63122,76497,705030,3435,4.18,320086,1.55,7931,125186,40500,594.65,36558660,0.73
Jonna075,9047,7674,40629,518,5.27,40468,1.3,898,19006,2150,594.59,5237260,0.61
XO-Leru,9177,19008,189412,468,2.62,49758,1.77,1118,22885,9685,594.57,5649145,0.65
xMomesso,29868,43288,257091,1572,4.71,203741,2.16,3391,66692,10863,594.52,22772187,0.69
Calestius,2271,5100,57035,137,2.38,12144,1.47,235,6911,1386,594.33,1420690,0.55
NotSwaysy,1413,2509,19036,93,3.14,7875,1.4,171,2125,996,594.19,902386,0.67
BBAdventures,7362,10528,75394,456,3.92,41242,1.51,1144,10028,6564,594.12,4542072,0.73
iYasser-87,23944,36881,152952,1179,3.22,118892,1.68,2508,79460,11495,594.12,14194721,0.61
Sc00Be5,26129,38899,209215,1548,2.5,97182,1.05,3894,39000,26950,594.03,11289249,0.81
wickus14,14681,35670,135313,923,2.38,84838,1.53,1750,14367,8277,593.87,9655756,0.59
end3rzgame,1124,2337,8370,89,4.21,9842,1.84,164,1058,393,593.64,1087941,0.57
BasalPiergs,6406,13922,33187,357,2.91,40578,1.89,667,5267,2930,593.62,4677935,0.58
samidare-5611,2552,5964,23920,172,2.54,15124,1.46,273,3004,781,593.52,1774139,0.56
kaibz233,58604,117857,147941,3357,2.89,341074,1.69,5927,50748,30423,593.46,38699029,0.64
nekojarashi55,9887,16882,390088,713,2.99,50506,1.18,1639,26257,16660,593.44,5541596,0.74
wiserworld,13131,19874,96102,693,3.66,72739,1.75,1606,16606,8107,593.43,8506694,0.69
tokkibutsu_sub,3538,5777,27116,170,2.69,15533,1.52,294,9936,2294,593.41,1912873,0.56
ChelleGGTV,19713,31369,729249,1322,3.05,95638,1.2,3479,47666,40229,593.21,10607383,0.74
BrosPlay-,11513,21425,88109,669,3.16,67706,1.68,1696,19662,5187,593.13,7714820,0.66
JT_HAMM,19745,23949,137584,1431,5.82,139370,1.62,2903,12685,11565,593.12,15250669,0.67
mccclafnycc,15783,32569,156797,946,2.19,71191,1.25,1721,20895,16204,593.07,8420553,0.58
haneumatata,26594,49082,354630,1325,2.88,141364,1.78,3152,64445,15759,592.97,16149394,0.66
ExiToR-Qc,17415,32232,1261108,1476,2.81,90687,1.02,2912,83602,56609,592.96,10324995,0.7
light_fly320,12108,27268,378165,863,2.69,73370,1.42,1753,32150,24375,592.96,8097129,0.69
KamerpIant,10265,22890,190676,559,1.82,41706,1.24,1264,20797,13146,592.78,5014606,0.65
Untimelyyyy,1826,3576,18423,108,2.99,10675,1.64,304,3222,1729,592.77,1176897,0.8
BeadiestGem,3129,8223,32699,191,2.36,19428,1.69,362,8746,1478,592.77,2245749,0.53
Kurochan_dragon,13328,24280,331125,687,3.12,75656,1.83,1586,21441,10978,592.71,8687444,0.67
Rudolf9300,10418,19460,64702,551,2.84,55355,1.67,1113,8690,3824,592.71,6537881,0.6
Lokofran,16487,29219,210856,1092,4.19,122283,1.86,3006,12380,15016,592.69,13798043,0.7
lllRalinatoRlll,27760,38101,244157,1761,3.63,138464,1.31,3031,60037,12237,592.6,16383638,0.61
deanwood1987,67136,87757,148394,3054,4.32,379515,2.07,7566,22735,15527,592.31,42679972,0.69
Briggsyboi15,14902,22768,163975,816,4.3,97941,2,2389,21198,11639,592.31,10744702,0.75
lSwearSheWasnt13,16524,19188,150420,1130,5.56,106682,1.57,2599,21947,14120,592.24,11465693,0.73
DozeBzh,9625,13493,142092,509,4.53,61080,2,1346,17624,7086,592.21,6944725,0.71
Kxloux,5109,9875,115267,328,2.53,24991,1.27,998,12507,11357,592.16,2748925,0.74
Frindly-Fire-4,60951,58033,238337,4446,6.83,396119,1.48,10376,58259,15446,592.12,44253481,0.72
AUCHASE__,10375,14813,129638,571,2.72,40269,1.17,1261,14707,9602,592.04,4669304,0.74
PandaBrother_W,16648,24986,114885,863,3.96,99061,1.91,1861,9279,5265,591.82,11402216,0.67
AshTag2,1452,2546,5205,70,4.05,10309,2.42,241,901,587,591.8,1128431,0.71
Myers027,10096,19357,127177,646,1.93,37422,0.96,1422,8722,7522,591.75,4569075,0.72
Lirix18,28464,56050,462473,2221,1.95,109426,0.82,4524,85985,23206,591.69,14275200,0.63
FUN TUBER,6638,13180,12084,429,3.31,43593,1.69,1013,8315,1802,591.68,4828148,0.77
1O5sama,24806,29229,144388,978,4.14,121039,2.06,1875,46171,6837,591.62,14545070,0.63
Summer__Cat,19637,51771,701401,1750,1.78,92012,0.88,3388,79138,37918,591.61,10524793,0.65
edy1-1,36156,56755,268177,1630,2.88,163219,1.67,4944,50123,16666,591.58,18733940,0.77
Numfug,5191,9414,60674,263,2.82,26553,1.68,498,5516,2495,591.57,3127389,0.58
akalcx,27211,37151,116714,1071,3.14,116704,1.82,2204,33140,10892,591.55,14334613,0.69
zSolaFide,8811,13102,121599,518,3.16,41368,1.33,1189,11868,11032,591.49,4658925,0.71
Segura_o_MacrO,36397,76575,395289,2119,2.33,178101,1.4,4062,58939,31605,591.43,20962463,0.6
Loardos,31095,42212,162456,1442,3.5,147899,1.71,4867,33532,13898,591.39,17238854,0.83
YaserV2,5051,9812,41586,203,2.67,26217,2.15,412,4303,1287,591.2,2974517,0.6
FawnRocket19069,8791,25795,216619,584,2.1,54093,1.54,1239,16268,26002,591.12,5820324,0.68
doukyou69,8101,14753,32329,469,2.75,40536,1.44,1071,10721,2666,591.06,4670656,0.74
raazoors64,31764,38168,433692,2135,4.57,174478,1.36,5571,141533,21176,590.97,20552581,0.96
AUT_Zimtstern,34259,60931,1910449,2262,2,121644,0.9,9971,127085,101915,590.91,14039470,0.79
Venom_Fr59,10785,21864,77180,781,3.05,66698,1.42,1635,12915,9361,590.87,7494488,0.68
HeXeN-LaZer,8205,8698,8198,439,5.59,48603,1.84,1139,4221,3102,590.85,5316686,0.82
HangOdang,29264,47238,194280,1458,2.99,141145,1.61,2873,31376,11691,590.82,16682330,0.65
l-l____SAW___l-l,31372,63446,144597,2394,2.74,173701,1.21,4156,56689,12255,590.81,20891195,0.52
AleSyberia,3019,6817,1191,160,2.97,20278,2.1,307,528,675,590.74,2266126,0.65
Drollendraaier3,4391,6937,30164,298,3.3,22871,1.28,631,8692,2945,590.73,2621071,0.7
