Account,Assists,Deaths,Heals,Hours_Played,Kill_Death_Ratio,Kills,Kills_Per_Minute,Matches_Won,Resupplies,Revives,Score_Per_Min,Total_Damage_Done,Win_Ratio
xReVolverWolf x,43740,81464,203986,2339,3.76,306324,2.18,6277,18329,15547,687.36,34052393,0.71
chikenOCE,7957,12085,61827,452,5.54,66937,2.47,1001,6681,4723,686.64,7128749,0.69
XxUncle_StalinxX,39616,43857,229782,1779,4.23,185515,1.74,4658,55818,33999,686.6,20653971,0.77
manaphy12456,14918,25202,97935,1054,4.52,113916,1.8,2196,17376,11386,686.52,12642900,0.73
Ashi_No_Ura_930,26165,52651,139842,1423,2.78,146631,1.72,2929,14010,20600,686.2,16913273,0.65
SegoFPS,5321,4901,54400,223,5.75,28174,2.1,493,8246,1292,685.76,3187919,0.67
Iz O K zI,3730,4712,21808,153,4.23,19921,2.17,282,9492,1505,685.69,2288288,0.54
IITeNaciTy-,11686,19713,102657,680,4.13,81322,1.99,2083,7375,7730,685.38,9130816,0.68
RipTheJacker88,5142,9468,5382,259,2.8,26557,1.71,545,4413,1727,684.77,2989784,0.69
zolar77,7782,15600,49075,467,4.23,66042,2.35,1026,15418,2746,684.55,7267825,0.56
GodlyNoobCakes,22692,27066,82071,964,4.29,116093,2.01,2620,34327,6643,684.29,13048278,0.78
Callmeqiege,1767,4590,16386,214,3.6,16523,1.28,240,4052,5593,683.83,1813782,0.52
k-d-mizz,34830,60797,32876,1662,2.57,155988,1.56,3234,10653,8292,683.72,18858629,0.64
KingAJ_15YT,21490,29917,145162,1074,4.12,123210,1.91,2534,30708,13905,683.71,13899554,0.67
nessty_cuban,5185,8659,4844,222,3.23,27940,2.1,582,1825,1316,683.21,3188361,0.71
Harry_bannedlol1,3504,6466,56376,185,2.98,19238,1.73,385,2916,5899,683.18,2256984,0.61
SEAL2142,7915,18715,389531,504,2.9,54241,1.79,1106,27401,8147,683.18,5830859,0.68
Lee99825,19992,37002,75681,1027,3.19,118139,1.92,1964,16117,9538,683.06,13711167,0.6
GENERALANASS_13,7104,16385,57499,380,2.88,47217,2.07,836,4846,6028,682.98,5137203,0.67
BonaweMm,8171,15538,75969,460,1.76,27353,0.99,572,13210,6095,682.8,3435263,0.55
JMwHaT,34774,45525,138948,1639,4.3,195750,1.99,3615,64285,13312,682.11,22134702,0.68
dice0316,51774,79212,348242,2328,3.26,258419,1.85,4493,35677,36437,682.09,30417312,0.62
BestManOfWorld,9741,25419,99327,789,2.85,72412,1.53,1326,11646,13676,682.05,7942723,0.64
lI_SPETSNAZ_ll,13178,24774,189153,693,3.11,76931,1.85,1462,16212,14475,681.82,8514235,0.62
ICespu,33131,62278,352109,1689,3.57,222594,2.2,4253,43201,22477,681.03,24310512,0.74
CactusAUS,35864,54735,189063,1948,3.82,209029,1.79,3850,47091,17278,680.81,22968040,0.67
Pleasure2YeetU,11986,15541,675916,947,3.78,58769,1.03,1984,45379,40435,680.71,6489766,0.81
mus1CK,25691,20729,110279,1182,6.12,126895,1.79,2903,17506,11143,680.68,14253080,0.81
imBZX_YT,35972,64160,202887,1675,3.22,206862,2.06,4157,27249,19995,680.63,23435074,0.75
krysvenus,16788,29580,287204,853,3.06,90406,1.77,2211,36993,16332,680.5,10256653,0.77
GeraltTheSniper,42864,55950,84794,1963,4.41,246691,2.09,4447,18636,7181,680.25,28762560,0.74
DanielVL_,3428,5917,15581,196,4.02,23810,2.02,418,2389,1585,679.82,2684762,0.69
JohnnyFruit,24201,25264,282107,1366,3.84,97120,1.18,3241,34518,21620,679.46,10862182,0.82
sen-nagi_S,58084,100958,683850,2876,2.98,300783,1.74,5378,48586,43697,679.3,34982048,0.62
Volpestein,8995,13081,63786,498,3.67,47958,1.6,1130,11385,4983,679.16,5726826,0.65
Extem06,11369,15526,155817,512,4.07,63219,2.06,1161,26786,9942,678.97,7101328,0.63
1Kodah,3039,4921,16591,154,4.01,19745,2.13,280,2728,1264,678.74,2231507,0.66
Eadris,25805,47531,359080,1616,4.5,213962,2.21,3048,27476,37816,678.65,22655595,0.62
justchjll,24258,43597,130298,1265,3.52,153345,2.02,2435,20735,6778,678.62,17016273,0.63
Waygyanba,37161,48249,112437,2509,6.12,295461,1.96,6555,101996,11482,678.52,31499453,0.79
bergnberg1,6687,11512,57486,402,3.68,42347,1.75,774,11985,3257,678.09,4842672,0.66
meIona_jon_mat,24271,36939,236511,1266,4.19,154602,2.03,2904,46184,14146,677.98,17525796,0.7
kouki20211,12594,25185,157590,652,3.19,80382,2.05,1636,41402,6550,677.79,8925880,0.72
Icy Pyramid,24962,24619,295409,1131,4.7,115740,1.7,3457,56278,20907,677.67,12886608,0.76
kadasrrr,6533,10172,41746,343,3.5,35617,1.73,785,22627,3411,677.46,4035711,0.69
Parasadalos,18180,16076,196506,1039,5.08,81720,1.31,2734,21440,24339,677.26,8895434,0.85
ausnx,14289,16758,232542,787,4.35,72852,1.54,1898,19292,16181,677.12,7922428,0.78
lalo__leo,14111,28139,134594,835,3.4,95601,1.91,2010,18251,13244,677.07,10635277,0.67
Greatinat0r,27008,40173,515503,1583,3.75,150685,1.59,3579,91538,22050,677.05,17603828,0.84
Zzbuchany,64806,50620,1002907,2940,6.36,322189,1.83,6337,137060,44355,676.67,36027889,0.78
HenkDePenky,13312,27578,133200,557,2.67,73507,2.2,1275,15751,5026,676.1,8675201,0.62
TaveracoTTV,123382,117907,447815,4965,5.31,626663,2.1,11675,129879,43796,676.05,70563463,0.78
